Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
7.0500e+00,9.1199e+00,5.4665e+00,4.7367e+04,4.7367e+04,-3.6749e-16,1.5532e+00
7.1000e+00,9.2446e+00,5.5412e+00,4.7787e+04,4.7788e+04,-3.6749e-16,1.5532e+00
7.1500e+00,9.3696e+00,5.6162e+00,4.8208e+04,4.8208e+04,-3.6749e-16,1.5532e+00
7.2000e+00,9.4950e+00,5.6913e+00,4.8630e+04,4.8630e+04,-3.6749e-16,1.5532e+00
7.2500e+00,9.6206e+00,5.7666e+00,4.9053e+04,4.9053e+04,-3.6749e-16,1.5532e+00
7.3000e+00,9.7465e+00,5.8420e+00,4.9477e+04,4.9476e+04,-3.6749e-16,1.5532e+00
7.3500e+00,9.8727e+00,5.9177e+00,4.9901e+04,4.9901e+04,-3.6749e-16,1.5532e+00
7.4000e+00,9.9992e+00,5.9935e+00,5.0327e+04,5.0326e+04,-3.6749e-16,1.5532e+00
7.4500e+00,1.0126e+01,6.0695e+00,5.0753e+04,5.0753e+04,-3.6749e-16,1.5532e+00
7.5000e+00,1.0253e+01,6.1457e+00,5.1180e+04,5.1180e+04,-3.6749e-16,1.5532e+00
7.5500e+00,1.0381e+01,6.2221e+00,5.1609e+04,5.1609e+04,-3.6749e-16,1.5532e+00
7.6000e+00,1.0508e+01,6.2987e+00,5.2038e+04,5.2038e+04,-3.6749e-16,1.5532e+00
7.6500e+00,1.0636e+01,6.3754e+00,5.2468e+04,5.2468e+04,-3.6749e-16,1.5532e+00
7.7000e+00,1.0765e+01,6.4524e+00,5.2899e+04,5.2899e+04,-3.6749e-16,1.5532e+00
7.7500e+00,1.0893e+01,6.5295e+00,5.3331e+04,5.3331e+04,-3.6749e-16,1.5532e+00
7.8000e+00,1.1022e+01,6.6068e+00,5.3764e+04,5.3764e+04,-3.6749e-16,1.5532e+00
7.8500e+00,1.1152e+01,6.6842e+00,5.4198e+04,5.4198e+04,-3.6749e-16,1.5532e+00
7.9000e+00,1.1281e+01,6.7619e+00,5.4633e+04,5.4633e+04,-3.6749e-16,1.5532e+00
7.9500e+00,1.1411e+01,6.8397e+00,5.5069e+04,5.5069e+04,-3.6749e-16,1.5532e+00
8.0000e+00,1.1541e+01,6.9177e+00,5.5506e+04,5.5506e+04,-3.6749e-16,1.5532e+00
8.0500e+00,1.1672e+01,6.9959e+00,5.5944e+04,5.5944e+04,-3.6749e-16,1.5532e+00
8.1000e+00,1.1802e+01,7.0743e+00,5.6382e+04,5.6383e+04,-3.6749e-16,1.5532e+00
8.1500e+00,1.1933e+01,7.1529e+00,5.6822e+04,5.6823e+04,-3.6749e-16,1.5532e+00
8.2000e+00,1.2065e+01,7.2316e+00,5.7263e+04,5.7263e+04,-3.6749e-16,1.5532e+00
8.2500e+00,1.2196e+01,7.3105e+00,5.7705e+04,5.7705e+04,-3.6749e-16,1.5532e+00
8.3000e+00,1.2328e+01,7.3896e+00,5.8147e+04,5.8147e+04,-3.6749e-16,1.5532e+00
8.3500e+00,1.2461e+01,7.4689e+00,5.8591e+04,5.8591e+04,-3.6749e-16,1.5532e+00
