Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
2.8288e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8389e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8489e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8590e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8690e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8790e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8891e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8991e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9092e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9192e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9292e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9393e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9493e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9593e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9694e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9794e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9895e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9995e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.0095e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
3.0196e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
3.0296e-01,-3.9973e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
3.0397e-01,-3.9972e+00,-5.5184e+00,-5.5422e+00,-5.5184e+00
3.0497e-01,-3.9971e+00,-5.5184e+00,-5.5420e+00,-5.5184e+00
3.0597e-01,-3.9968e+00,-5.5184e+00,-5.5418e+00,-5.5184e+00
3.0698e-01,-3.9965e+00,-5.5184e+00,-5.5414e+00,-5.5184e+00
3.0798e-01,-3.9958e+00,-5.5184e+00,-5.5408e+00,-5.5184e+00
3.0898e-01,-3.9947e+00,-5.5184e+00,-5.5396e+00,-5.5184e+00
3.0999e-01,-3.9927e+00,-5.5184e+00,-5.5377e+00,-5.5184e+00
3.1099e-01,-3.9894e+00,-5.5184e+00,-5.5344e+00,-5.5184e+00
3.1200e-01,-3.9835e+00,-5.5184e+00,-5.5285e+00,-5.5184e+00
3.1300e-01,-3.9726e+00,-5.5184e+00,-5.5175e+00,-5.5184e+00
