Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
3.8481e-01,-9.6215e+23,-2.7150e+24
3.8580e-01,3.9489e+25,-2.3101e+24
3.8681e-01,3.8450e+25,-3.1672e+24
3.8782e-01,3.7810e+25,-3.7487e+24
3.8882e-01,3.7271e+25,-4.2370e+24
3.8983e-01,3.6753e+25,-4.7034e+24
3.9084e-01,3.6231e+25,-5.1738e+24
3.9185e-01,3.5696e+25,-5.6569e+24
3.9285e-01,3.5147e+25,-6.1548e+24
3.9386e-01,3.4582e+25,-6.6675e+24
3.9487e-01,3.4004e+25,-7.1942e+24
3.9588e-01,3.3413e+25,-7.7334e+24
3.9689e-01,3.2811e+25,-8.2838e+24
3.9789e-01,3.2199e+25,-8.8439e+24
3.9890e-01,3.1580e+25,-9.4121e+24
3.9991e-01,3.0953e+25,-9.9868e+24
4.0092e-01,3.0322e+25,-1.0566e+25
4.0193e-01,2.9688e+25,-1.1149e+25
4.0293e-01,2.9052e+25,-1.1734e+25
4.0394e-01,2.8416e+25,-1.2319e+25
4.0495e-01,2.7782e+25,-1.2902e+25
4.0596e-01,2.7151e+25,-1.3482e+25
4.0696e-01,2.6525e+25,-1.4058e+25
4.0797e-01,2.5905e+25,-1.4627e+25
4.0898e-01,2.5293e+25,-1.5188e+25
4.0999e-01,2.4691e+25,-1.5739e+25
4.1100e-01,2.4100e+25,-1.6280e+25
4.1200e-01,2.3522e+25,-1.6807e+25
4.1301e-01,2.2958e+25,-1.7321e+25
4.1402e-01,2.2409e+25,-1.7820e+25
4.1503e-01,2.1877e+25,-1.8301e+25
4.1604e-01,2.1363e+25,-1.8765e+25
4.1704e-01,2.0869e+25,-1.9209e+25
4.1805e-01,2.0396e+25,-1.9632e+25
4.1906e-01,1.9945e+25,-2.0033e+25
4.2007e-01,1.9516e+25,-2.0411e+25
4.2107e-01,1.9112e+25,-2.0765e+25
4.2208e-01,1.8733e+25,-2.1095e+25
4.2309e-01,1.8380e+25,-2.1398e+25
4.2410e-01,1.8054e+25,-2.1674e+25
4.2511e-01,1.7756e+25,-2.1923e+25
4.2611e-01,1.7486e+25,-2.2144e+25
4.2712e-01,1.7244e+25,-2.2335e+25
4.2813e-01,1.7033e+25,-2.2497e+25
4.2914e-01,1.6852e+25,-2.2629e+25
4.3015e-01,1.6702e+25,-2.2729e+25
4.3115e-01,1.6586e+25,-2.2796e+25
4.3216e-01,1.6512e+25,-2.2821e+25
4.3317e-01,1.6501e+25,-2.2783e+25
4.3418e-01,1.6618e+25,-2.2617e+25
4.3518e-01,1.7065e+25,-2.2123e+25
4.3619e-01,1.8453e+25,-2.0701e+25
4.3720e-01,2.2634e+25,-1.6634e+25
4.3819e-01,-2.0479e+25,-2.2016e+25
4.3918e-01,-2.3697e+25,-2.3779e+25
4.4018e-01,-2.4423e+25,-2.4448e+25
4.4117e-01,-2.4699e+25,-2.4722e+25
4.4216e-01,-2.4811e+25,-2.4833e+25
4.4315e-01,-2.4765e+25,-2.4864e+25
4.4415e-01,-2.4792e+25,-2.4841e+25
4.4514e-01,-2.4675e+25,-2.4780e+25
4.4613e-01,-2.4658e+25,-2.4703e+25
4.4712e-01,-2.4657e+25,-2.4678e+25
4.4812e-01,-2.4918e+25,-2.4928e+25
4.4911e-01,-2.6211e+25,-2.6217e+25
4.5010e-01,-5.5915e+25,-5.5919e+25
4.5111e-01,-4.5184e+25,-4.5192e+25
4.5212e-01,-4.1311e+25,-4.1323e+25
4.5312e-01,-3.9432e+25,-3.9448e+25
4.5413e-01,-3.8102e+25,-3.8122e+25
4.5514e-01,-3.6912e+25,-3.6936e+25
4.5615e-01,-3.5751e+25,-3.5778e+25
4.5715e-01,-3.4589e+25,-3.4619e+25
4.5816e-01,-3.3418e+25,-3.3450e+25
4.5917e-01,-3.2239e+25,-3.2274e+25
4.6018e-01,-3.1053e+25,-3.1090e+25
4.6119e-01,-2.9863e+25,-2.9901e+25
4.6219e-01,-2.8670e+25,-2.8710e+25
4.6320e-01,-2.7477e+25,-2.7519e+25
4.6421e-01,-2.6287e+25,-2.6330e+25
4.6522e-01,-2.5102e+25,-2.5145e+25
4.6623e-01,-2.3923e+25,-2.3968e+25
4.6723e-01,-2.2754e+25,-2.2799e+25
4.6824e-01,-2.1597e+25,-2.1643e+25
4.6925e-01,-2.0455e+25,-2.0500e+25
4.7026e-01,-1.9328e+25,-1.9373e+25
4.7126e-01,-1.8220e+25,-1.8265e+25
4.7227e-01,-1.7133e+25,-1.7178e+25
4.7328e-01,-1.6070e+25,-1.6114e+25
4.7429e-01,-1.5031e+25,-1.5074e+25
4.7530e-01,-1.4019e+25,-1.4062e+25
4.7630e-01,-1.3037e+25,-1.3079e+25
4.7731e-01,-1.2086e+25,-1.2126e+25
4.7832e-01,-1.1167e+25,-1.1207e+25
4.7933e-01,-1.0284e+25,-1.0323e+25
4.8034e-01,-9.4376e+24,-9.4750e+24
4.8134e-01,-8.6294e+24,-8.6654e+24
4.8235e-01,-7.8611e+24,-7.8957e+24
