Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
2.3676e-01,-5.0903e+00,-7.2457e+00,-7.2583e+00,-7.2272e+00
2.3776e-01,-5.0903e+00,-7.2457e+00,-7.2583e+00,-7.2272e+00
2.3877e-01,-5.0904e+00,-7.2457e+00,-7.2584e+00,-7.2272e+00
2.3977e-01,-5.0906e+00,-7.2457e+00,-7.2586e+00,-7.2271e+00
2.4077e-01,-5.0910e+00,-7.2456e+00,-7.2590e+00,-7.2271e+00
2.4178e-01,-5.0916e+00,-7.2456e+00,-7.2596e+00,-7.2271e+00
2.4278e-01,-5.0926e+00,-7.2456e+00,-7.2606e+00,-7.2271e+00
2.4378e-01,-5.0945e+00,-7.2456e+00,-7.2625e+00,-7.2271e+00
2.4479e-01,-5.0977e+00,-7.2456e+00,-7.2657e+00,-7.2271e+00
2.4579e-01,-5.1033e+00,-7.2456e+00,-7.2713e+00,-7.2271e+00
2.4680e-01,-5.1124e+00,-7.2456e+00,-7.2804e+00,-7.2271e+00
2.4780e-01,-5.1267e+00,-7.2456e+00,-7.2947e+00,-7.2271e+00
2.4880e-01,-5.1408e+00,-7.2456e+00,-7.2810e+00,-7.2271e+00
2.4980e-01,-5.1583e+00,-7.2456e+00,-7.2720e+00,-7.2270e+00
2.5080e-01,-5.1776e+00,-7.2456e+00,-7.2662e+00,-7.2270e+00
2.5180e-01,-5.1976e+00,-7.2456e+00,-7.2624e+00,-7.2270e+00
2.5280e-01,-5.2173e+00,-7.2456e+00,-7.2598e+00,-7.2269e+00
2.5380e-01,-5.2364e+00,-7.2456e+00,-7.2579e+00,-7.2269e+00
2.5480e-01,-5.2543e+00,-7.2456e+00,-7.2562e+00,-7.2269e+00
2.5580e-01,-5.2765e+00,-7.2268e+00,-7.2545e+00,-7.2269e+00
2.5680e-01,-5.3610e+00,-7.2268e+00,-7.2524e+00,-7.2268e+00
2.5780e-01,-5.4447e+00,-7.2268e+00,-7.2495e+00,-7.2268e+00
2.5880e-01,-5.5270e+00,-7.2268e+00,-7.2452e+00,-7.2268e+00
2.5980e-01,-5.6066e+00,-7.2268e+00,-7.2382e+00,-7.2268e+00
2.6080e-01,-5.6810e+00,-7.2268e+00,-7.2259e+00,-7.2268e+00
2.6180e-01,-5.6919e+00,-7.2268e+00,-7.2369e+00,-7.2268e+00
2.6281e-01,-5.6978e+00,-7.2268e+00,-7.2428e+00,-7.2268e+00
2.6381e-01,-5.7011e+00,-7.2268e+00,-7.2461e+00,-7.2268e+00
2.6482e-01,-5.7031e+00,-7.2268e+00,-7.2480e+00,-7.2268e+00
2.6582e-01,-5.7042e+00,-7.2268e+00,-7.2491e+00,-7.2268e+00
2.6682e-01,-5.7048e+00,-7.2268e+00,-7.2498e+00,-7.2268e+00
2.6783e-01,-5.7052e+00,-7.2268e+00,-7.2502e+00,-7.2268e+00
2.6883e-01,-5.7055e+00,-7.2268e+00,-7.2504e+00,-7.2268e+00
2.6983e-01,-5.7056e+00,-7.2268e+00,-7.2506e+00,-7.2268e+00
2.7084e-01,-5.7057e+00,-7.2268e+00,-7.2506e+00,-7.2268e+00
2.7184e-01,-5.7057e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
2.7285e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
2.7385e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
2.7485e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.7586e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.7686e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.7787e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.7887e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.7987e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8088e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8188e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8288e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8389e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8489e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8590e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8690e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8790e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8891e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.8991e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9092e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9192e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9292e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9393e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9493e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9593e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9694e-01,-5.7058e+00,-7.2268e+00,-7.2508e+00,-7.2268e+00
2.9794e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
2.9895e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
2.9995e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
3.0095e-01,-5.7058e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
3.0196e-01,-5.7057e+00,-7.2268e+00,-7.2507e+00,-7.2268e+00
3.0296e-01,-5.7057e+00,-7.2268e+00,-7.2506e+00,-7.2268e+00
3.0397e-01,-5.7056e+00,-7.2268e+00,-7.2505e+00,-7.2268e+00
3.0497e-01,-5.7055e+00,-7.2268e+00,-7.2504e+00,-7.2268e+00
3.0597e-01,-5.7052e+00,-7.2268e+00,-7.2502e+00,-7.2268e+00
3.0698e-01,-5.7048e+00,-7.2268e+00,-7.2498e+00,-7.2268e+00
3.0798e-01,-5.7042e+00,-7.2268e+00,-7.2491e+00,-7.2268e+00
3.0898e-01,-5.7030e+00,-7.2268e+00,-7.2480e+00,-7.2268e+00
3.0999e-01,-5.7011e+00,-7.2268e+00,-7.2461e+00,-7.2268e+00
3.1099e-01,-5.6978e+00,-7.2268e+00,-7.2427e+00,-7.2268e+00
3.1200e-01,-5.6919e+00,-7.2268e+00,-7.2368e+00,-7.2268e+00
3.1300e-01,-5.6809e+00,-7.2268e+00,-7.2259e+00,-7.2268e+00
