Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
1.3700e+00,5.0165e-06,2.0051e-06,1.4784e+01,1.4784e+01,1.3700e+00,0.0000e+00
1.3800e+00,7.5019e-06,2.9985e-06,1.8965e+01,1.8965e+01,1.3800e+00,0.0000e+00
1.3900e+00,1.1230e-05,4.4887e-06,2.4307e+01,2.4307e+01,1.3900e+00,0.0000e+00
1.4000e+00,1.6823e-05,6.7243e-06,3.1085e+01,3.1085e+01,1.4000e+00,0.0000e+00
1.4100e+00,2.5213e-05,1.0078e-05,3.9606e+01,3.9606e+01,1.4100e+00,0.0000e+00
1.4200e+00,3.7796e-05,1.5107e-05,5.0204e+01,5.0204e+01,1.4200e+00,0.0000e+00
1.4300e+00,5.6672e-05,2.2652e-05,6.3226e+01,6.3226e+01,1.4300e+00,0.0000e+00
1.4400e+00,8.5033e-05,3.3988e-05,7.9020e+01,7.9020e+01,1.4400e+00,0.0000e+00
1.4500e+00,1.2781e-04,5.1087e-05,9.7923e+01,9.7923e+01,1.4500e+00,0.0000e+00
1.4600e+00,1.9287e-04,7.7091e-05,1.2025e+02,1.2025e+02,1.4600e+00,0.0000e+00
1.4700e+00,2.9328e-04,1.1722e-04,1.4631e+02,1.4631e+02,1.4700e+00,0.0000e+00
1.4800e+00,4.5219e-04,1.8074e-04,1.7639e+02,1.7639e+02,1.4800e+00,0.0000e+00
1.4900e+00,7.1454e-04,2.8560e-04,2.1078e+02,2.1078e+02,1.4900e+00,0.0000e+00
1.5000e+00,1.1797e-03,4.7151e-04,2.4987e+02,2.4987e+02,1.5000e+00,0.0000e+00
1.5100e+00,2.1157e-03,8.4565e-04,2.9428e+02,2.9428e+02,1.5100e+00,0.0000e+00
